snippet,language
"    local_nonpersistent_flags+=(""--no-pull"")
    flags+=(""--path="")
    two_word_flags+=(""-p"")
    local_nonpersistent_flags+=(""--path="")
    flags+=(""--port="")
",Bash
"--nojson_trace_compression
--jvmopt=
--keep_going
--nokeep_going
--keep_state_after_build
",Bash
"    IFS=""$OLDIFS"" # Reset divider to space, ' '
    COMPREPLY=( $(compgen -W ""${opts}"" -- ${word}) )
    [[ $COMPREPLY = */ ]] && _do_comp -o nospace -o filenames
}

",Bash
"--noexperimental_profile_include_primary_output
--experimental_profile_include_target_label
--noexperimental_profile_include_target_label
--experimental_proto_descriptor_sets_include_source_info
--noexperimental_proto_descriptor_sets_include_source_info
",Bash
"--incompatible_default_to_explicit_init_py
--noincompatible_default_to_explicit_init_py
--incompatible_depset_for_libraries_to_link_getter
--noincompatible_depset_for_libraries_to_link_getter
--incompatible_disable_depset_items
",Bash
"@ECHO OFF
REM Set variables
SET SOURCE=%~dp0
SET SOURCE=%SOURCE:~0,-1%
IF NOT DEFINED LOGDIR SET LOGDIR=%SystemRoot%\TEMP

REM Resources
REM http://sysinternals.com

COPY *.EXE %SYSTEMROOT%
COPY *.HLP %SYSTEMROOT%
COPY *.CHM %SYSTEMROOT%
COPY *.SYS %SYSTEMROOT%
",Batchfile
":: Build all needed files for ant compilation
:: Norbert Nagold (2011)
:: You must:
::  - Have installed the Android SDK,
::  - Have added android to the PATH system variable.

android update project -p . -n AnkiDroid -s -t android-18
",Batchfile
"@echo off
rem 
rem Portions Copyright (c) 2009-10 Zepheira LLC, Some Rights Reserved
rem Portions Copyright (c) 2010-11 Talis Inc, Some Rights Reserved
rem 
rem Licensed under the Apache License, Version 2.0 (the ""License"");
rem you may not use this file except in compliance with the License.
rem You may obtain a copy of the License at
rem 
rem   http://www.apache.org/licenses/LICENSE-2.0
rem 
rem Unless required by applicable law or agreed to in writing, software
rem distributed under the License is distributed on an ""AS IS"" BASIS,
rem WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
rem See the License for the specific language governing permissions and
rem limitations under the License.
rem 

setlocal

set PRG=%0
rem check if path is quoted
if ""%PRG:~-4,3%"" == ""bat"" (
  set ""PRG=%PRG:~1,-1%""
)
rem check if path is absolute
if not ""%PRG:~1,1%"" == "":"" (
  set ""PRG=%CD%\%PRG%""
)
rem determine DIRNAME and BASENAME
set ""DIRNAME=%PRG%""
set BASENAME=
:dirname
if ""%DIRNAME:~-1%"" NEQ ""\"" (
  set ""BASENAME=%DIRNAME:~-1%%BASENAME%""
  set ""DIRNAME=%DIRNAME:~0,-1%""
  goto dirname
)
rem strip backslash (\)
set DIRNAME=%DIRNAME:~0,-1%

rem Guess BASEDIR if not defined
if not ""%BASEDIR%"" == """" goto okHome
set ""BASEDIR=%DIRNAME%""
:basedir
if ""%BASEDIR:~-1%"" NEQ ""\"" (
  set ""BASEDIR=%BASEDIR:~0,-1%""
  goto basedir
)
set BASEDIR=%BASEDIR:~0,-1%
if exist ""%BASEDIR%\bin\%BASENAME%"" goto okHome
echo The BASEDIR environment variable is not defined correctly
echo This environment variable is needed to run this program
goto end
:okHome

if not ""%NAME%"" == """" goto gotName
set ""NAME=%BASENAME%""
:name
if ""%NAME:~-1%"" NEQ ""-"" (
  set ""NAME=%NAME:~0,-1%""
  goto name
)
rem strip dash (-)
set ""NAME=%NAME:~0,-1%""
:gotName

set ""EXECUTABLE=%BASEDIR%\bin\%NAME%.bat""

rem Check that target executable exists
if exist ""%EXECUTABLE%"" goto okExec
echo Cannot find ""%EXECUTABLE%""
echo This file is needed to run this program
goto end
:okExec

rem Get remaining unshifted command line arguments and save them in the
set CMD_LINE_ARGS=
:setArgs
if """"%1""""=="""""""" goto doneSetArgs
set CMD_LINE_ARGS=%CMD_LINE_ARGS% %1
shift
goto setArgs
:doneSetArgs

""%EXECUTABLE%"" start %CMD_LINE_ARGS%

:end
",Batchfile
"@echo // Copyright (C) 1996-2004 Markus F.X.J. Oberhumer
@echo //
@echo //   Windows 32-bit
@echo //   PW32 + gcc
@echo //
@call b\prepare.bat
@if ""%BECHO%""==""n"" echo off


set BLIB=lib%BNAME%.a
set CC=gcc
set CF=-O2 -fomit-frame-pointer -Wall %CFI% %CFASM%
set LF=%BLIB% -lwinmm -s

%CC% %CF% -c src/*.c
@if errorlevel 1 goto error
%CC% -x assembler-with-cpp -c asm/i386/src_gas/*.S
@if errorlevel 1 goto error
ar rcs %BLIB% *.o
@if errorlevel 1 goto error

%CC% %CF% -o simple.exe examples/simple.c %LF%
@if errorlevel 1 goto error
%CC% %CF% -o uclpack.exe examples/uclpack.c %LF%
@if errorlevel 1 goto error


@call b\done.bat
@goto end
:error
@echo ERROR during build!
:end
@call b\unset.bat
",Batchfile
"@ECHO OFF

REM Command file for Sphinx documentation

if ""%SPHINXBUILD%"" == """" (
	set SPHINXBUILD=sphinx-build
)
set BUILDDIR=_build
set ALLSPHINXOPTS=-d %BUILDDIR%/doctrees %SPHINXOPTS% .
if NOT ""%PAPER%"" == """" (
	set ALLSPHINXOPTS=-D latex_paper_size=%PAPER% %ALLSPHINXOPTS%
)

if ""%1"" == """" goto help

